Epoch,TrainAcc,ValAcc,Loss
1,82.36,87.1,0.595962
2,91.29,92.8,0.295466
3,93.11,93.1,0.230864
4,94.57,93.1,0.17685
5,95.2,94.2,0.153896
6,95.59,94.8,0.153163
7,96.29,94.6,0.126517
8,96.48,94.4,0.116235
9,96.61,95.4,0.114973
10,97.14,94.6,0.0965738
11,96.77,95.2,0.114884
12,97.55,95,0.0900306
13,97.65,95.8,0.0891197
14,97.68,96,0.091867
15,97.54,96.2,0.098506
16,97.84,95.5,0.0885529
17,97.84,96,0.0915643
18,98.01,95.6,0.0811345
19,97.91,95.4,0.0875609
20,97.96,95.3,0.102154
21,98.16,96,0.0955931
22,98.2,96,0.0924553
23,98.37,95.7,0.0835857
24,98.28,96.5,0.0818706
25,98.09,96,0.114911
26,98.54,95.3,0.0789075
27,98.39,95.8,0.101269
28,98.49,96.3,0.088664
29,98.56,96.2,0.0883312
30,98.7,96,0.080135
31,98.62,96.6,0.0696737
32,98.54,95.7,0.0860515
33,98.31,97,0.112631
34,98.56,95.9,0.0935093
35,98.6,96.2,0.093416
36,98.55,96,0.109363
37,98.74,96.3,0.0868064
38,98.74,96.4,0.0964597
39,98.6,96.8,0.10264
40,98.71,96.6,0.0965664
41,98.72,96.4,0.0970081
